Plate,Row,Column,final_ngul,band_intensity,rank_ngul,predict_MW,band_MW,band_notes
V,B,7,69.08739669,4,0.531,155.8354,95,
V,B,8,116.8375872,5,0.775,57.31148,53,
V,B,9,37.9611941,0,0.334,59.68711,0,
V,B,10,45.75413986,6,0.367,51.08613,54,
V,B,11,56.4203952,5,0.443,138.2804,93,48
V,B,12,49.15981474,4,0.392,114.2772,95,
V,C,1,57.21270255,5,0.446,66.17409,68,
V,C,2,113.3998386,6,0.76,60.23813,60,
V,C,3,0,0,0.001,91.16353,0,
V,C,4,55.84097116,3,0.438,70.71547,63,
V,C,5,7.936512884,0,0.144,70.04548,65,
V,C,6,81.73590184,6,0.599,93.60603,90,
V,C,7,259.072253,8,0.994,61.0694,57,
V,C,8,64.24034334,6,0.494,33.53362,50,
V,C,9,83.03305945,7,0.613,52.0048,60,
V,C,10,129.7930504,8,0.839,52.98844,54,
V,C,11,68.69477649,4,0.528,72.68493,62,
V,C,12,105.0695651,4,0.727,83.26549,67,
V,D,1,0,0,0.001,62.66218,0,other faint bands
V,D,2,32.84026295,0,0.305,77.93486,0,other faint bands
V,D,3,149.1905251,7,0.898,63.8856,63,
V,D,4,25.79279344,0,0.25,105.7988,,other faint bands
V,D,5,39.82372929,5,0.345,53.84322,59,
V,D,6,27.70752914,0,0.272,154.4402,0,other faint bands
V,D,7,118.151184,8,0.787,82.81049,71,
V,D,8,36.78095838,1,0.328,100.6126,92,
V,D,9,23.03571346,4,0.236,212.1631,180,
V,D,10,19.27852388,0,0.208,147.3108,0,other faint bands
V,D,11,12.32484839,0,0.172,205.8207,0,other faint bands
V,D,12,7.70746276,0,0.139,80.27807,0,other faint bands
V,E,1,78.99902876,6,0.577,76.32473,80,"other faint bands,78"
V,E,2,19.36133187,0,0.209,53.23831,0,other faint bands
V,E,3,69.32119637,4,0.532,51.30432,64,other faint bands
V,E,4,16.09800938,0,0.191,77.73467,36,
V,E,5,92.42367056,8,0.668,88.76753,70,
V,E,6,58.39021694,7,0.452,59.68785,56,
V,E,7,95.0602738,6,0.686,63.51108,55,
V,E,8,106.694871,6,0.732,54.21584,52,other faint bands
V,E,9,61.65874178,4,0.477,172.3473,130,
V,E,10,173.7756036,8,0.936,46.68198,50,
V,E,11,196.985245,8,0.968,43.07823,49,33
V,E,12,153.7945673,7,0.903,58.1845,58,
V,F,1,154.2189414,6,0.904,55.87302,58,"other faint bands,30"
V,F,2,133.0987355,7,0.852,66.64481,60,other faint bands
V,F,3,130.8742299,7,0.843,64.53595,62,
V,F,4,115.6641991,4,0.772,47.95476,52,other faint bands
V,F,5,51.10447253,6,0.407,168.5591,130,
V,F,6,57.5874943,6,0.447,87.311,82,
V,F,7,121.1166246,7,0.806,71.88163,65,
V,F,8,130.6259493,6,0.842,60.78358,54,
V,F,9,105.4240943,6,0.729,88.64376,90,
V,F,10,127.2165125,7,0.831,108.4136,93,
V,F,11,110.0330065,7,0.747,42.4627,51,
V,F,12,163.3297566,8,0.918,48.45568,54,
V,G,1,201.9254557,8,0.973,86.20597,80,
V,G,2,7.5697117,2,0.136,81.66344,78,
V,G,3,321.1923775,7,0.998,83.94812,68,
V,G,4,88.43473835,6,0.642,57.57851,67,
V,G,5,117.2188798,5,0.784,89.64759,70,
V,G,6,0,0,0.001,39.47345,0,
V,G,7,90.85263128,5,0.659,55.14198,53,
V,G,8,82.51580414,4,0.604,42.80185,49,36
V,G,9,71.77438885,6,0.541,131.0799,110,
V,G,10,0,0,0.001,40.46423,0,
V,G,11,0,0,0.001,54.74517,0,
V,G,12,8.770136661,2,0.145,121.2168,99,
V,H,1,76.38684613,8,0.566,57.10422,60,
V,H,2,0,0,0.001,178.1128,0,
V,H,3,164.5198775,7,0.921,83.66735,67,
V,H,4,0,1,0.001,49.96316,,58 may be background band
V,H,5,59.52127749,4,0.453,86.27967,68,
V,H,6,88.07122562,6,0.638,131.99,105,
V,H,7,242.9424791,8,0.991,66.09654,60,
V,H,8,83.02528737,5,0.611,109.0598,92,
V,H,9,47.42648373,0,0.376,111.0978,,other faint bands
V,H,10,95.04301121,5,0.684,62.3499,59,
V,H,11,115.5480694,6,0.769,62.4594,62,
V,H,12,31.71736155,4,0.297,164.3735,130,
VI,A,1,0,0,0.001,38.59801,0,
VI,A,2,90.81368798,3,0.657,35.08191,48,36
VI,A,3,55.68118813,5,0.436,121.6795,100,doublet bands
VI,A,4,2.600333169,0,0.116,155.9808,0,
VI,A,5,68.24825282,0,0.522,129.7757,0,other faint bands
VI,A,6,39.80890858,0,0.343,51.88574,53,
VI,A,7,50.07343089,3,0.395,178.7046,165,
VI,A,8,7.502132024,0,0.135,213.8049,0,
VI,A,9,82.63312479,4,0.605,94.0794,92,
VI,A,10,133.5290926,6,0.858,48.76491,48,faint 35
VI,A,11,13.8984096,0,0.181,80.1165,0,
VI,A,12,84.01543123,7,0.62,126.0112,95,
VI,B,1,65.06662801,3,0.5,121.0793,100,
VI,B,2,67.30024523,1,0.514,69.40786,63,"48,36"
VI,B,3,25.18507414,0,0.247,107.0827,75,
VI,B,4,97.20652331,7,0.7,114.5024,106,
VI,B,5,148.9084538,8,0.895,80.55463,68,
VI,B,6,114.5243407,6,0.767,49.9536,61,
VI,B,7,80.89759272,7,0.593,60.92457,60,
VI,B,8,225.544286,8,0.989,167.1047,120,
VI,B,9,27.76166341,0,0.273,56.41343,,other faint bands
VI,B,10,14.17239549,0,0.183,84.51974,0,
VI,B,11,145.1930108,7,0.88,45.1251,63,33
VI,B,12,55.83082616,4,0.437,73.60301,67,
VI,C,1,65.18061529,0,0.501,83.92272,70,
VI,C,2,79.14356312,3,0.58,62.02273,57,39
VI,C,3,55.98068533,4,0.44,77.33623,66,
VI,C,4,32.38219125,0,0.303,51.20731,0,
VI,C,5,22.56177874,0,0.233,186.541,0,
VI,C,6,80.11776557,2,0.59,67.66136,62,
VI,C,7,25.80055452,0,0.251,121.8097,0,
VI,C,8,177.9759019,8,0.949,95.42156,71,
VI,C,9,17.26344159,0,0.197,83.14701,0,
